step_id,source_page,source_order,title,actor,action_summary,card_names,glossary_terms,asset_ids,notes,status
zuko-step-026,12,26,Zaatakuj dwoma stworami,zuko-player,Zaatakuj Fire Nation Soldier oraz Warship Scout i tapnij oba stwory.,Fire Nation Soldier|Warship Scout,attack|tap|combat,qsg-asset-018,,identified
zuko-step-027,12,27,Tundra Wall blokuje Soldier,opponent,Przeciwnik blokuje Fire Nation Soldier kartą Tundra Wall.,Fire Nation Soldier|Tundra Wall,block|defender,qsg-asset-018,,identified
zuko-step-028,12,28,Rozpatrz obrażenia trzeciej tury,system,"Scout zadaje 2 przeciwnikowi, Soldier zadaje 3 Wall, a Wall zadaje 0; oba blokowane permanenty pozostają na Battlefield.",Warship Scout|Fire Nation Soldier|Tundra Wall,combat-damage|power|toughness|battlefield,qsg-asset-018,,identified
zuko-step-029,12,29,Wylecz obrażenia i przekaż turę,system,"Wyjaśnij, że obrażenia na stworach znikają pod koniec tury, a następnie przekaż turę.",Fire Nation Soldier|Tundra Wall,end-of-turn|damage|pass-turn,qsg-asset-018,,identified
zuko-step-030,13,30,Podsumowanie trzeciej tury,system,Pokaż stan stołu po trzeciej turze i poczekaj na trzecią turę Aanga.,Warship Scout|Fire Nation Soldier|Tundra Wall|Zuko's Offense,battlefield|hand|graveyard|life-total,qsg-asset-019,,identified
zuko-step-031,13,31,Rozpocznij czwartą turę,zuko-player,"Odtapuj, dobierz kartę, zagraj Mountain i rzuć Iroh, Firebending Instructor.","Iroh, Firebending Instructor|Mountain",untap|draw|land|cast|creature|triggered-ability,qsg-asset-020,,identified
zuko-step-032,13,32,Zaatakuj Fire Nation Soldier,zuko-player,Zaatakuj tylko Fire Nation Soldier; przeciwnik blokuje go Tundra Wall.,Fire Nation Soldier|Tundra Wall,attack|block|combat,qsg-asset-020,,identified
zuko-step-033,14,33,Rzuć Zuko's Offense po walce,zuko-player,"Po walce zapłać jedną czerwoną manę, wskaż Tundra Wall i zagraj Zuko's Offense.",Zuko's Offense|Tundra Wall|Mountain,sorcery|cast|target|mana|graveyard,qsg-asset-021,,identified
zuko-step-034,14,34,Zniszcz Tundra Wall,system,Połącz 3 obrażenia z walki i 2 z czaru; Tundra Wall ma łącznie 5 obrażeń i zostaje zniszczony.,Zuko's Offense|Tundra Wall|Fire Nation Soldier,damage|destroy|toughness|graveyard,qsg-asset-021,,identified
zuko-step-035,14,35,Zakończ czwartą turę,zuko-player,Przekaż turę i pokaż podsumowanie stanu gry.,"Warship Scout|Fire Nation Soldier|Iroh, Firebending Instructor",pass-turn|battlefield|life-total,qsg-asset-022,,identified
zuko-step-036,15,36,Momo niszczy Soldier,opponent,"Przeciwnik rzuca Momo, Rambunctious Rascal; jego zdolność wejścia zadaje 4 obrażenia Fire Nation Soldier.","Momo, Rambunctious Rascal|Fire Nation Soldier",cast|enters|triggered-ability|damage|destroy|graveyard,qsg-asset-023,,identified
zuko-step-037,15,37,Nie blokuj Sokka,zuko-player,"Przeciwnik atakuje Sokka; wybierz brak bloku, a życie Zuko spada z 10 do 7.","Sokka, Tenacious Tactician",attack|block|vigilance|combat-damage|life-total,qsg-asset-023,,identified
zuko-step-038,15,38,Rozpocznij piątą turę,zuko-player,"Odtapuj, dobierz kartę, zagraj Mountain i rzuć Zhao, the Seething Flame.","Zhao, the Seething Flame|Mountain",untap|draw|land|cast|creature|menace,qsg-asset-024,,identified
zuko-step-039,15,39,Zaatakuj Scoutem i Irohem,zuko-player,Zaatakuj Warship Scout i Iroh; uruchom zdolność Iroha dającą atakującym +1/+1 do końca tury.,"Warship Scout|Iroh, Firebending Instructor",attack|triggered-ability|power|toughness|until-end-of-turn,qsg-asset-024,,identified
zuko-step-040,16,40,Aang odpowiada instantem,opponent,"Sokka blokuje Iroh, a przeciwnik rzuca Aang's Defense, tymczasowo zwiększając Sokka o +2/+2.","Iroh, Firebending Instructor|Sokka, Tenacious Tactician|Aang's Defense",block|instant|respond|stack|power|toughness,qsg-asset-025,,identified
zuko-step-041,16,41,Rozpatrz piątą walkę,system,"Scout zadaje 3 przeciwnikowi, Sokka niszczy Iroh, a efekty tymczasowe kończą się z końcem tury.","Warship Scout|Iroh, Firebending Instructor|Sokka, Tenacious Tactician",combat-damage|destroy|graveyard|until-end-of-turn,qsg-asset-026,,identified
zuko-step-042,16,42,Zakończ piątą turę,zuko-player,Przekaż turę i pokaż podsumowanie.,"Warship Scout|Zhao, the Seething Flame",pass-turn|battlefield|life-total,qsg-asset-027,,identified
zuko-step-043,17,43,Katara dodaje znaczniki,opponent,"Przeciwnik rzuca Katara, Heroic Healer i umieszcza znaczniki +1/+1 na Sokka oraz Momo.","Katara, Heroic Healer|Sokka, Tenacious Tactician|Momo, Rambunctious Rascal",+1/+1-counter|enters|triggered-ability|permanent,qsg-asset-028,,identified
zuko-step-044,17,44,Momo atakuje z lataniem,opponent,"Momo atakuje; wyjaśnij flying i brak możliwości bloku, przez co życie Zuko spada z 7 do 5.","Momo, Rambunctious Rascal|Zhao, the Seething Flame",flying|reach|block|combat-damage|life-total,qsg-asset-028,,identified
zuko-step-045,18,45,"Rzuć Zuko, Avatar Hunter",zuko-player,"Odtapuj, dobierz kartę, pomiń zagranie lądu i rzuć Zuko, Avatar Hunter za pięć many.","Zuko, Avatar Hunter",untap|draw|cast|creature|reach|triggered-ability,qsg-asset-029,,identified
zuko-step-046,18,46,Zaatakuj Zhao i Scoutem,zuko-player,Zaatakuj Zhao i Warship Scout; wyjaśnij menace i wymóg dwóch blokujących Zhao.,"Zhao, the Seething Flame|Warship Scout|Sokka, Tenacious Tactician|Katara, Heroic Healer",attack|menace|multiple-blockers|block,qsg-asset-029,,identified
zuko-step-047,18,47,Rozpatrz podwójne blokowanie,system,"Przeciwnik dzieli bloki Sokka i Katara na Zhao; przydziel obrażenia, rozpatrz lifelink, wymianę Zhao i Sokka oraz obrażenia Scouta.","Zhao, the Seething Flame|Warship Scout|Sokka, Tenacious Tactician|Katara, Heroic Healer",combat-damage|multiple-blockers|damage-assignment|lifelink|trade|graveyard,qsg-asset-030,,identified
zuko-step-048,18,48,Zakończ szóstą turę,zuko-player,Przekaż turę i pokaż stan po szóstej turze.,"Zuko, Avatar Hunter|Warship Scout",pass-turn|battlefield|life-total,qsg-asset-031,,identified
zuko-step-049,19,49,Aang daje vigilance,opponent,"Przeciwnik rzuca Aang, Air Nomad; jego stworzenia otrzymują vigilance, ale nie wykonują korzystnego ataku.","Aang, Air Nomad",cast|vigilance|attack,qsg-asset-032,,identified
zuko-step-050,19,50,Rzuć Komodo Rhino,zuko-player,"Odtapuj, dobierz kartę i rzuć Komodo Rhino za cztery many.",Komodo Rhino,untap|draw|cast|creature|trample,qsg-asset-032,,identified
zuko-step-051,19,51,Utwórz token Soldier,system,Rzucenie czerwonego czaru uruchamia zdolność Zuko i tworzy czerwony token Soldier 2/2.,"Zuko, Avatar Hunter|Komodo Rhino|Soldier Token",triggered-ability|red-spell|create-token|token|power|toughness,qsg-asset-033,,identified
zuko-step-052,20,52,Nie atakuj w siódmej turze,zuko-player,Zachowaj Zuko do blokowania stworów z flying i przekaż turę.,"Zuko, Avatar Hunter|Warship Scout",reach|flying|block|pass-turn,qsg-asset-034,,identified
zuko-step-053,20,53,Otter-Penguin zwiększa statystyki,opponent,"Przeciwnik aktywuje zdolność Sledding Otter-Penguin, płaci trzy many i umieszcza na nim znacznik +1/+1.",Sledding Otter-Penguin,+1/+1-counter|activated-ability|ability-cost|permanent,qsg-asset-035,,identified
zuko-step-054,20,54,Zablokuj atak Aanga,zuko-player,"Zablokuj Aang kartą Zuko, a Katara jednocześnie Warship Scout i tokenem Soldier.","Aang, Air Nomad|Zuko, Avatar Hunter|Katara, Heroic Healer|Warship Scout|Soldier Token|Momo, Rambunctious Rascal",block|multiple-blockers|flying|reach,qsg-asset-035,,identified
zuko-step-055,21,55,Rozpatrz siódmą walkę,system,"Aang i Zuko wymieniają się; Katara i token Soldier wymieniają się; Momo zadaje obrażenia, a lifelink podnosi życie przeciwnika.","Aang, Air Nomad|Zuko, Avatar Hunter|Katara, Heroic Healer|Warship Scout|Soldier Token|Momo, Rambunctious Rascal",combat-damage|multiple-blockers|damage-assignment|lifelink|token|trade,qsg-asset-036,,identified
zuko-step-056,21,56,Rzuć Fire Nation's Conquest,zuko-player,"Rozpocznij ósmą turę, odtapuj, dobierz i zagraj enchantment Fire Nation's Conquest.",Fire Nation's Conquest,untap|draw|cast|enchantment|permanent,qsg-asset-037,,identified
zuko-step-057,21,57,Zwiększ swoje stwory,system,"Fire Nation's Conquest daje twoim stworom +1/+0; Warship Scout staje się 3/1, a Komodo Rhino 6/2.",Fire Nation's Conquest|Warship Scout|Komodo Rhino,continuous-effect|power|permanent,qsg-asset-037,,identified
zuko-step-058,21,58,Zaatakuj Komodo Rhino,zuko-player,Zaatakuj Komodo Rhino i wyjaśnij trample; przeciwnik musi wybrać jednego z dwóch blokujących.,"Komodo Rhino|Momo, Rambunctious Rascal|Sledding Otter-Penguin",attack|trample|block|lethal-damage,qsg-asset-038,,identified
zuko-step-059,21,59,Przeciwnik wybiera blok,opponent,Pokaż dwie możliwe konsekwencje bloku: Momo albo Sledding Otter-Penguin oraz nadmiarowe obrażenia trample.,"Komodo Rhino|Momo, Rambunctious Rascal|Sledding Otter-Penguin",trample|combat-damage|block|life-total,qsg-asset-038,,identified
zuko-step-060,21,60,Zakończenie tutorialu,system,"Wyjaśnij, że dalszy przebieg zależy od decyzji przeciwnika i gracze mogą samodzielnie dokończyć partię.",,tutorial|win-condition,qsg-asset-038,,identified
zuko-step-061,22,61,Podsumowanie ósmej tury,system,Pokaż stan stołu po ósmej turze Zuko.,Warship Scout|Komodo Rhino|Fire Nation's Conquest,battlefield|graveyard|life-total,qsg-asset-039,,identified
zuko-step-062,22,62,Gdzie szukać pomocy,system,"Przypomnij, że niezrozumiałe terminy można sprawdzić w słowniczku aplikacji.",,glossary|keyword,qsg-asset-040,,identified
zuko-step-063,22,63,Wskazówki: lądy i czary,system,"Podsumuj, że warto zagrywać ląd w każdej turze i zwykle wykorzystywać dostępną manę.",,land|mana|cast|spell,qsg-asset-040,,identified
zuko-step-064,22,64,Wskazówki: kiedy atakować,system,"Przypomnij ocenę wymian, pozostawianie blokujących i zasadę, że atakuje się gracza, nie jego stworzenia.",,attack|block|power|toughness|life-total,qsg-asset-040,,identified
